scrapeNum,courseCodes,link
110,CH234,https://academic-calendar.wlu.ca/course.php?c=63856&cal=1&d=2575&s=1034&y=85
111,CH250,https://academic-calendar.wlu.ca/course.php?c=63858&cal=1&d=2575&s=1034&y=85
112,CH261,https://academic-calendar.wlu.ca/course.php?c=63889&cal=1&d=2575&s=1034&y=85
113,CH262,https://academic-calendar.wlu.ca/course.php?c=63890&cal=1&d=2575&s=1034&y=85
114,CH301,https://academic-calendar.wlu.ca/course.php?c=63859&cal=1&d=2575&s=1034&y=85
115,CH302,https://academic-calendar.wlu.ca/course.php?c=63893&cal=1&d=2575&s=1034&y=85
116,CH303,https://academic-calendar.wlu.ca/course.php?c=63860&cal=1&d=2575&s=1034&y=85
117,CH306,https://academic-calendar.wlu.ca/course.php?c=63861&cal=1&d=2575&s=1034&y=85
118,CH313,https://academic-calendar.wlu.ca/course.php?c=63862&cal=1&d=2575&s=1034&y=85
119,CH327,https://academic-calendar.wlu.ca/course.php?c=63863&cal=1&d=2575&s=1034&y=85
120,CH328,https://academic-calendar.wlu.ca/course.php?c=63864&cal=1&d=2575&s=1034&y=85
121,CH332,https://academic-calendar.wlu.ca/course.php?c=63892&cal=1&d=2575&s=1034&y=85
122,CH340,https://academic-calendar.wlu.ca/course.php?c=63865&cal=1&d=2575&s=1034&y=85
123,CH341,https://academic-calendar.wlu.ca/course.php?c=66169&cal=1&d=2575&s=1034&y=85
124,CH345,https://academic-calendar.wlu.ca/course.php?c=63857&cal=1&d=2575&s=1034&y=85
125,CH350,https://academic-calendar.wlu.ca/course.php?c=63866&cal=1&d=2575&s=1034&y=85
126,CH354,https://academic-calendar.wlu.ca/course.php?c=63869&cal=1&d=2575&s=1034&y=85
127,CH355,https://academic-calendar.wlu.ca/course.php?c=63870&cal=1&d=2575&s=1034&y=85
128,CH356,https://academic-calendar.wlu.ca/course.php?c=63871&cal=1&d=2575&s=1034&y=85
129,CH357,https://academic-calendar.wlu.ca/course.php?c=63867&cal=1&d=2575&s=1034&y=85
130,CH358,https://academic-calendar.wlu.ca/course.php?c=63881&cal=1&d=2575&s=1034&y=85
131,CH360,https://academic-calendar.wlu.ca/course.php?c=63888&cal=1&d=2575&s=1034&y=85
132,CH390,https://academic-calendar.wlu.ca/course.php?c=63887&cal=1&d=2575&s=1034&y=85
133,CH404,https://academic-calendar.wlu.ca/course.php?c=63872&cal=1&d=2575&s=1034&y=85
134,CH419,https://academic-calendar.wlu.ca/course.php?c=63873&cal=1&d=2575&s=1034&y=85
135,CH432,https://academic-calendar.wlu.ca/course.php?c=63874&cal=1&d=2575&s=1034&y=85
136,CH433,https://academic-calendar.wlu.ca/course.php?c=63894&cal=1&d=2575&s=1034&y=85
137,CH440,https://academic-calendar.wlu.ca/course.php?c=63875&cal=1&d=2575&s=1034&y=85
138,CH445,https://academic-calendar.wlu.ca/course.php?c=63891&cal=1&d=2575&s=1034&y=85
139,CH450,https://academic-calendar.wlu.ca/course.php?c=63876&cal=1&d=2575&s=1034&y=85
140,CH452,https://academic-calendar.wlu.ca/course.php?c=63878&cal=1&d=2575&s=1034&y=85
141,CH453,https://academic-calendar.wlu.ca/course.php?c=63879&cal=1&d=2575&s=1034&y=85
142,CH454,https://academic-calendar.wlu.ca/course.php?c=63880&cal=1&d=2575&s=1034&y=85
143,CH456,https://academic-calendar.wlu.ca/course.php?c=63882&cal=1&d=2575&s=1034&y=85
144,CH458,https://academic-calendar.wlu.ca/course.php?c=63883&cal=1&d=2575&s=1034&y=85
145,CH459,https://academic-calendar.wlu.ca/course.php?c=63868&cal=1&d=2575&s=1034&y=85
146,CH480,https://academic-calendar.wlu.ca/course.php?c=63884&cal=1&d=2575&s=1034&y=85
147,CH490,https://academic-calendar.wlu.ca/course.php?c=63885&cal=1&d=2575&s=1034&y=85
148,CH495,https://academic-calendar.wlu.ca/course.php?c=63886&cal=1&d=2575&s=1034&y=85
149,GC101,https://academic-calendar.wlu.ca/course.php?c=64824&cal=1&d=2638&s=1046&y=85
150,GC102,https://academic-calendar.wlu.ca/course.php?c=64834&cal=1&d=2638&s=1046&y=85
151,GC171,https://academic-calendar.wlu.ca/course.php?c=64848&cal=1&d=2638&s=1046&y=85
152,GC201,https://academic-calendar.wlu.ca/course.php?c=64825&cal=1&d=2638&s=1046&y=85
153,GC202,https://academic-calendar.wlu.ca/course.php?c=64826&cal=1&d=2638&s=1046&y=85
154,GC203,https://academic-calendar.wlu.ca/course.php?c=64839&cal=1&d=2638&s=1046&y=85
155,GC204,https://academic-calendar.wlu.ca/course.php?c=64840&cal=1&d=2638&s=1046&y=85
156,GC205,https://academic-calendar.wlu.ca/course.php?c=64856&cal=1&d=2638&s=1046&y=85
